Player,H_T,Pitcher,P_T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Pete Alonso,R,Chad Smith,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=smith-054cha&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Chad Smith,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=smith-054cha&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Chad Smith,R,1,1,1,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=smith-054cha&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Chad Smith,R,2,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1,0,,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=smith-054cha&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Zach Jackson,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=jackso002zac&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Zach Jackson,R,2,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=jackso002zac&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Zach Jackson,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=jackso002zac&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Dane Dunning,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=dunnin000dan&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Dane Dunning,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,TEX,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=dunnin000dan&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Dane Dunning,R,3,3,1,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,TEX,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=dunnin000dan&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Dane Dunning,R,3,2,2,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=dunnin000dan&year_min=2023&year_max=2023&seasons_type=forall
Randy Arozarena,R,Dane Dunning,R,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=dunnin000dan&year_min=2023&year_max=2023&seasons_type=forall
