Player,H_T,Pitcher,P_T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Dansby Swanson,R,Chad Smith,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=smith-054cha&year_min=2022&year_max=2022&seasons_type=forall
Juan Soto,L,Chad Smith,R,2,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=smith-054cha&year_min=2022&year_max=2022&seasons_type=forall
Thairo Estrada,R,Chad Smith,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=smith-054cha&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,R,Zach Jackson,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=jackso002zac&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Zach Jackson,R,3,2,0,0,0,0,0,1,0,0,0.33300000000000002,0,0.33300000000000002,0,0,0,0,1,OAK,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=jackso002zac&year_min=2022&year_max=2022&seasons_type=forall
Thairo Estrada,R,Zach Jackson,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=jackso002zac&year_min=2022&year_max=2022&seasons_type=forall
Jorge Polanco,S,Zach Jackson,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OAK,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=jackso002zac&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,R,Dane Dunning,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Sean Murphy,R,Dane Dunning,R,9,7,1,1,0,0,1,2,1,0.14299999999999999,0.33300000000000002,0.28599999999999998,0.61899999999999999,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Dansby Swanson,R,Dane Dunning,R,3,3,1,0,0,0,0,0,0,0.33300000000000002,0.33300000000000002,0.33300000000000002,0.66700000000000004,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Juan Soto,L,Dane Dunning,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TEX,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Jorge Polanco,S,Dane Dunning,R,2,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Dane Dunning,R,3,2,1,0,0,0,0,1,0,0.5,0.66700000000000004,0.5,1.167,0,0,0,0,0,TEX,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=dunnin000dan&year_min=2022&year_max=2022&seasons_type=forall
Juan Soto,L,Reynaldo López,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,ATL,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=lopez-000rey&year_min=2022&year_max=2022&seasons_type=forall
