Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Adley Rutschman,Tanner Houck,R,12,8,1,0,0,0,1,3,4,0.125,0.333,0.125,0.458,0,1,0,0,1,BOS,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=houck-000tan&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Yusei Kikuchi,L,12,10,6,1,0,1,2,2,1,0.6,0.667,1,1.667,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=kikuch000yus&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Clarke Schmidt,R,11,8,1,0,0,0,0,2,4,0.125,0.364,0.125,0.489,0,0,0,1,0,NYY,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=schmid001cla&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Kevin Gausman,R,10,10,1,0,0,0,2,0,2,0.1,0.1,0.1,0.2,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=gausma001kev&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Chris Sale,L,10,9,3,0,0,0,0,1,0,0.333,0.4,0.333,0.733,0,0,0,0,0,ATL,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=sale--001chr&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Zach Eflin,R,9,8,1,0,0,1,2,1,2,0.125,0.222,0.5,0.722,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Tyler Glasnow,R,9,7,2,0,0,0,2,2,2,0.286,0.444,0.286,0.73,0,0,0,0,0,LAD,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=glasno000tyl&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Chris Bassitt,R,6,6,2,2,0,0,0,0,1,0.333,0.333,0.667,1,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=bassit000chr&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,José Berríos,R,6,6,3,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=berrio000jos&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,Shane Bieber,R,6,6,2,0,0,0,1,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,CLE,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=bieber000sha&year_min=2023&year_max=2023&seasons_type=forall
