Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Jose Abreu,Shane Bieber,R,15,15,5,3,0,0,1,0,2,0.333,0.333,0.533,0.867,0,0,0,0,1,CLE,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=bieber000sha&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Drew Hutchison,R,12,11,1,0,0,0,0,1,1,0.091,0.167,0.091,0.258,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=hutchi002and&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Brad Keller,R,11,11,4,0,0,1,3,0,1,0.364,0.364,0.636,1,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=keller000bra&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Triston McKenzie,R,10,9,4,0,0,0,1,1,2,0.444,0.5,0.444,0.944,0,0,0,0,0,CLE,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=mckenz000tri&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Brady Singer,R,10,10,3,0,0,1,3,0,1,0.3,0.3,0.6,0.9,0,0,0,0,0,KCR,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=singer000bra&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Zack Greinke,R,9,9,1,1,0,0,0,0,2,0.111,0.111,0.222,0.333,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=greink001don&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Daniel Lynch IV,L,9,8,3,0,0,0,0,1,1,0.375,0.444,0.375,0.819,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=lynch-005dan&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Cal Quantrill,R,9,8,3,1,0,0,1,0,0,0.375,0.444,0.5,0.944,0,0,0,1,0,COL,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=quantr000cal&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Josh Winder,R,9,8,3,2,0,0,1,0,1,0.375,0.444,0.625,1.069,0,0,0,1,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=winder000jos&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,Dylan Bundy,R,8,7,2,0,0,1,2,1,1,0.286,0.375,0.714,1.089,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=bundy-000dyl&year_min=2022&year_max=2022&seasons_type=forall
